Species,Species_2,Trophy,Functional_group,Functional_group2,Measured_with
chlamydomonas_reinhardtii,\textit{Chlamydomonas reinhardtii},autotroph,Autotrophs,autotroph,FlowCam
colpidium_striatum,\textit{Colpidium striatum},heterotroph,Bacterivores,bacterivores,Videography
dexiostomata_campylum,\textit{Dexiostoma campylum},heterotroph,Bacterivores,bacterivores,FlowCam
spirostomum_sp,\textit{Spirostomum} sp.,heterotroph,Bacterivores,bacterivores,Manual count
paramecium_caudatum,\textit{Paramecium caudatum},heterotroph,Omnivores,omnivores,Videography
rotifer_sp,\textit{Rotifer} sp.,heterotroph,Omnivores,omnivores,Manual count
euplotes_daidaleos,\textit{Euplotes daidaleos},mixotroph,Mixotrophs,mixotroph,Videography
euglena_gracilis,\textit{Euglena gracilis},mixotroph,Mixotrophs,mixotroph,FlowCam
didinium_nasutum,\textit{Didinium nasutum},heterotroph,Predator,top_predator,Manual count
bacteria,Bacteria,heterotroph,Bacteria,bacteria,Flow cytometry
big_white_particle,Big and white flagellates,heterotroph,Bacterivores,bacterivores_undef,FlowCam
green-white_particle,Green and white flagellates,heterotroph,Bacterivores,bacterivores_undef,FlowCam
small-white_particle,Small and white flagellates,heterotroph,Bacterivores,bacterivores_undef,FlowCam